timestep,time,region,model,b0,q,alpha,k,g,r0,b,MSE,MAE,NRMSE,normalized_residual,AIC,Rrope,n_points_inside
0001,0.119270299992057,apex,Gold-Hoyle,0.9685858629935329,0.029801505836826076,,,,,,0.00022881725754584883,0.011077121930662716,0.02208583381994299,0.00023348699749576408,-834.2586870596002,0.7204454537139215,50
0001,0.119270299992057,apex,Lundquist,0.9712161760978709,,0.5,,,,,0.012037655673966807,0.08843017556218664,0.16019183280481777,0.012283322116292655,-437.9715569441679,0.7204454537139215,50
0001,0.119270299992057,apex,Exponential,0.9685829051946379,,,0.05425198119232531,0.6976593878005405,,,0.00022880638164893405,0.01107787166557941,0.02208530893360178,0.0002358828676793135,-832.263440265483,0.7204454537139215,50
0001,0.119270299992057,apex,Step-like,1.0047422343140278,,,,0.9257625012160304,0.1,0.1662427017600578,0.00048585834030560096,0.02016294352390413,0.03218283088927478,0.0005061024378183343,-754.9593455347041,0.7204454537139215,50
0002,0.238540599984114,apex,Gold-Hoyle,0.9673099773142155,0.029841305993451993,,,,,,0.00024315302149796578,0.01135287130436578,0.022796869484831946,0.0002481153280591487,-828.1819590601709,0.7204454537139213,50
0002,0.238540599984114,apex,Lundquist,0.9699297368701867,,0.5,,,,,0.012026616425071928,0.08855752529316202,0.16032716288997842,0.012272057576604007,-438.06330498975933,0.7204454537139213,50
0002,0.238540599984114,apex,Exponential,0.9673064798818669,,,0.054466028398797314,0.6991480723702796,,,0.00024314222068907193,0.011354008599772257,0.02279636316300312,0.0002506620831846102,-826.1864011389387,0.7204454537139213,50
0002,0.238540599984114,apex,Step-like,1.001106625886984,,,,0.9302855583200945,0.1,0.16672462494143253,0.000497483591466394,0.020431735597884953,0.032608044725493716,0.0005182120744441606,-752.5947981876525,0.7204454537139213,50
0003,0.357810899976171,apex,Gold-Hoyle,0.9666106393102527,0.029045996802055152,,,,,,0.0002472339255417468,0.011312395218322224,0.023003630339531615,0.00025227951585892535,-826.5175598505881,0.72044545371392,50
0003,0.357810899976171,apex,Lundquist,0.9691460355918693,,0.5,,,,,0.012102023619774142,0.08891748690519093,0.16094272334520582,0.012349003693647085,-437.4382598976431,0.72044545371392,50
0003,0.357810899976171,apex,Exponential,0.966606819626621,,,0.053135750702595685,0.7004301313615708,,,0.00024722533853912296,0.011314436055345191,0.023003230851579327,0.0002548714830300237,-824.5210331407917,0.72044545371392,50
0003,0.357810899976171,apex,Step-like,0.9993659878709807,,,,0.9323205861649606,0.1,0.16643316070478267,0.0004884870831758694,0.02020564062699853,0.03233470401902275,0.0005088407116415306,-754.4197526593779,0.72044545371392,50
0004,0.477081199968228,apex,Gold-Hoyle,0.9662389224396559,0.030182347701943214,,,,,,0.0002539852582698637,0.01160203818678231,0.023324794123863745,0.00025916863088761596,-823.8234327000412,0.7204454537139273,50
0004,0.477081199968228,apex,Lundquist,0.9688813352710578,,0.5,,,,,0.011982352987325376,0.08848769704785102,0.16020815489004478,0.012226890803393243,-438.43202958707315,0.7204454537139273,50
0004,0.477081199968228,apex,Exponential,0.9662350764436891,,,0.05518835422238299,0.7001419573011943,,,0.0002539737908329613,0.011603604041779063,0.023324267560578343,0.0002618286503432591,-821.8279478029336,0.7204454537139273,50
0004,0.477081199968228,apex,Step-like,0.9987697204928541,,,,0.9326704060848857,0.1,0.1673280568293436,0.0005112205534758078,0.02074944797140662,0.03309159627114059,0.000532521409870633,-749.8709447423272,0.7204454537139273,50
0005,0.596351499960285,apex,Gold-Hoyle,0.9658450357886676,0.030464201853218794,,,,,,0.0002589185268462601,0.01175097806258299,0.023559805535929963,0.0002642025784145512,-821.8997110050618,0.720445453714071,50
0005,0.596351499960285,apex,Lundquist,0.968510911972628,,0.5,,,,,0.01195063156259638,0.0883947089635156,0.1600610149415515,0.012194522002649368,-438.69711514909994,0.720445453714071,50
